iter	Passed	Remaining
405	5507	8057
406	5520	8043
407	5533	8029
408	5545	8013
409	5559	7999
410	5573	7986
411	5590	7977
412	5603	7964
413	5614	7946
414	5627	7932
415	5639	7917
416	5650	7900
417	5663	7885
418	5674	7869
419	5686	7852
420	5698	7837
421	5710	7821
422	5723	7806
423	5734	7790
424	5748	7777
425	5760	7761
426	5772	7746
427	5784	7731
428	5796	7715
429	5808	7699
430	5819	7682
431	5829	7664
432	5839	7646
433	5850	7630
434	5861	7613
435	5872	7596
436	5883	7580
437	5894	7563
438	5904	7545
439	5914	7527
440	5925	7511
441	5937	7495
442	5948	7479
443	5960	7464
444	5972	7448
445	5984	7434
446	5997	7419
447	6009	7404
448	6022	7390
449	6034	7374
450	6044	7358
451	6058	7344
452	6070	7330
453	6082	7315
454	6095	7300
455	6107	7285
456	6120	7271
457	6133	7258
458	6146	7244
459	6159	7230
460	6173	7218
461	6186	7204
462	6200	7191
463	6213	7177
464	6226	7163
465	6238	7148
466	6249	7132
467	6262	7119
468	6274	7104
469	6287	7089
470	6298	7074
471	6310	7058
472	6321	7043
473	6332	7027
474	6344	7011
475	6355	6996
476	6365	6979
477	6376	6963
478	6386	6946
479	6397	6930
480	6411	6917
481	6422	6902
482	6435	6888
483	6447	6873
484	6461	6860
485	6472	6845
486	6482	6828
487	6493	6812
488	6506	6799
489	6517	6783
490	6527	6766
491	6538	6751
492	6550	6736
493	6561	6721
494	6571	6704
495	6582	6688
496	6593	6673
497	6604	6657
498	6616	6642
499	6628	6628
500	6639	6612
501	6650	6597
502	6661	6581
503	6671	6565
504	6683	6550
505	6694	6535
506	6707	6521
507	6722	6510
508	6735	6497
509	6753	6488
510	6775	6484
511	6787	6469
512	6802	6457
513	6816	6444
514	6831	6433
515	6851	6426
516	6866	6415
517	6877	6399
518	6893	6388
519	6911	6379
520	6927	6368
521	6942	6357
522	6955	6343
523	6968	6330
524	6980	6315
525	6991	6300
526	7002	6284
527	7014	6270
528	7024	6254
529	7036	6240
530	7050	6227
531	7079	6227
532	7096	6217
533	7107	6202
534	7119	6188
535	7136	6177
536	7148	6163
537	7164	6152
538	7177	6139
539	7188	6123
540	7202	6110
541	7213	6095
542	7223	6079
543	7235	6064
544	7246	6050
545	7258	6035
546	7270	6020
547	7282	6006
548	7295	5993
549	7306	5978
550	7318	5963
551	7329	5948
552	7339	5932
553	7349	5916
554	7362	5902
555	7372	5887
556	7385	5873
557	7395	5858
558	7408	5844
559	7420	5830
560	7430	5814
561	7442	5800
562	7454	5786
563	7467	5772
564	7479	5758
565	7491	5744
566	7502	5729
567	7513	5714
568	7525	5700
569	7537	5686
570	7548	5671
571	7560	5657
572	7570	5641
573	7579	5625
574	7591	5611
575	7606	5599
576	7619	5586
577	7630	5571
578	7641	5556
579	7653	5542
580	7666	5528
581	7676	5513
582	7687	5498
583	7702	5486
584	7714	5473
585	7728	5460
586	7743	5448
587	7757	5435
588	7770	5422
589	7782	5407
590	7793	5393
591	7805	5379
592	7818	5365
593	7829	5351
594	7841	5337
595	7854	5323
596	7866	5310
597	7879	5296
598	7892	5283
599	7906	5270
600	7917	5256
601	7931	5243
602	7942	5229
603	7956	5216
604	7966	5201
605	7977	5186
606	7990	5173
607	8001	5158
608	8012	5144
609	8023	5130
610	8035	5115
611	8046	5101
612	8057	5086
613	8069	5072
614	8079	5058
615	8090	5043
616	8101	5028
617	8113	5015
618	8126	5001
619	8137	4987
620	8147	4972
621	8158	4958
622	8169	4943
623	8182	4930
624	8193	4916
625	8204	4901
626	8215	4887
627	8225	4872
628	8237	4858
629	8247	4843
630	8259	4829
631	8270	4815
632	8281	4801
633	8294	4788
634	8308	4775
635	8322	4763
636	8338	4751
637	8352	4738
638	8365	4726
639	8380	4713
640	8395	4702
641	8410	4689
642	8423	4676
643	8437	4663
644	8452	4652
645	8468	4640
646	8485	4629
647	8498	4616
648	8512	4604
649	8527	4591
650	8540	4578
651	8553	4565
652	8567	4552
653	8581	4539
654	8594	4526
655	8606	4513
656	8618	4499
657	8632	4486
658	8645	4473
659	8658	4460
660	8671	4447
661	8684	4434
662	8698	4421
663	8712	4408
664	8728	4397
665	8743	4384
666	8758	4372
667	8773	4360
668	8786	4347
669	8799	4334
670	8813	4321
671	8827	4308
672	8841	4295
673	8854	4282
674	8867	4269
675	8880	4256
676	8895	4244
677	8908	4230
678	8922	4217
679	8935	4205
680	8948	4191
681	8961	4178
682	8976	4166
